Data,Ente,gg,mezzo,Km_auto,Km_mezzi,Km_bici,Km_piedi,alimentazione
2020/05/25 4:21:55 PM EET,ARPAT Toscana,55,Auto/Moto/Scooter/Ciclomotore,22,0,0,0,Benzina
2020/05/26 3:02:12 AM EET,ISPRA,22,Auto/Moto/Scooter/Ciclomotore,12,0,0,0,Benzina
2020/05/27 10:11:54 AM EET,ARPA Calabria,60,Auto/Moto/Scooter/Ciclomotore,24,0,0,0,Benzina
2020/05/27 10:47:05 AM EET,APPA Bolzano,45,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/05/27 12:09:20 PM EET,ARPA Lombardia,53,Bicicletta/monopattino,,,,,
2020/05/27 12:32:51 PM EET,ARPA Marche,25,Auto/Moto/Scooter/Ciclomotore,25,0,0,0,Benzina
2020/05/27 12:38:55 PM EET,ARPA Sardegna,44,Auto/Moto/Scooter/Ciclomotore,80,0,0,0,Diesel
2020/05/27 2:20:07 PM EET,ARPAE Emilia-Romagna,50,Auto/Moto/Scooter/Ciclomotore,14,0,0,0,Metano
2020/05/28 8:18:00 AM EET,ARPA Piemonte,5,Mezzi pubblici (autobus/tram/treno...),,,,,
2020/06/05 8:18:22 AM EET,ARPA Calabria,48,Auto/Moto/Scooter/Ciclomotore,60,0,0,0,Diesel
2020/06/05 8:21:38 AM EET,ARPA Calabria,55,Auto/Moto/Scooter/Ciclomotore,8,0,0,0,Diesel
2020/06/05 8:24:32 AM EET,ARPA Calabria,55,Auto/Moto/Scooter/Ciclomotore,36,0,0,0,Diesel
2020/06/05 8:27:59 AM EET,ARPA Calabria,54,Auto/Moto/Scooter/Ciclomotore,25,0,0,0,Benzina
2020/06/05 8:32:55 AM EET,ARPA Calabria,50,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 8:33:23 AM EET,ARPA Calabria,40,Auto/Moto/Scooter/Ciclomotore,15,0,0,0,Diesel
2020/06/05 8:39:22 AM EET,ARPA Calabria,53,Auto/Moto/Scooter/Ciclomotore,17,0,0,0,Diesel
2020/06/05 8:41:01 AM EET,ARPA Calabria,55,Auto/Moto/Scooter/Ciclomotore,100,0,0,0,Diesel
2020/06/05 8:44:15 AM EET,ARPA Calabria,55,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Benzina
2020/06/05 8:44:47 AM EET,ARPA Calabria,70,Auto/Moto/Scooter/Ciclomotore,,,,,
2020/06/05 8:49:27 AM EET,ARPA Calabria,35,Auto/Moto/Scooter/Ciclomotore,9,0,0,0,Benzina
2020/06/05 8:53:00 AM EET,ARPA Calabria,46,Auto/Moto/Scooter/Ciclomotore,116,0,0,0,Diesel
2020/06/05 8:53:27 AM EET,ARPA Calabria,53,Auto/Moto/Scooter/Ciclomotore,30,0,0,0,Diesel
2020/06/05 8:54:54 AM EET,ARPA Calabria,52,Auto/Moto/Scooter/Ciclomotore,40,0,0,0,Benzina
2020/06/05 8:55:36 AM EET,ARPA Calabria,40,Auto/Moto/Scooter/Ciclomotore,20,0,0,0,Diesel
2020/06/05 8:55:45 AM EET,ARPA Calabria,14,A piedi,0,0,0,1,NON USO QUESTA MODALITA' DI SPOSTAMENTO
